user,password,p1,p2,p3,p4,p5,p6,countries
user94,pw94,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon,Thailand,Yemen,Portugal,Vatican"
user95,pw95,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam"
user96,pw96,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea,Antigua and Barbuda,Nepal,Kuwait,Sudan,Palestine,Namibia,Israel,Rwanda,Colombia,Singapore,Saint Martin"
user97,pw97,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea,Namibia,Antigua and Barbuda,Greece,Saint Vincent and the Grenadines"
user98,pw98,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait"
user99,pw99,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba"
user100,pw100,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu,United Arab Emirates,Republic of Serbia,,Cook Islands"
user101,pw101,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece"
user102,pw102,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia"
user103,pw103,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea,Coral Sea Islands,Nepal,Morocco,Malaysia"
user104,pw104,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu,United Arab Emirates,Republic of Serbia,,Cook Islands,Namibia,Equatorial Guinea,Iran,Republic of Congo"
user105,pw105,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece,Saint Lucia,Nepal,Oman,Azerbaijan,Palestine,Malaysia,Egypt,Equatorial Guinea,British Virgin Islands,Namibia"
user106,pw106,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands"
user107,pw107,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba,Sudan,Gambia,Bolivia,Scarborough Reef"
user108,pw108,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka,Egypt,Serranilla Bank,Namibia,Equatorial Guinea,Somalia,Gabon,Saint Martin,Cook Islands,Iraq,Malta"
user109,pw109,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba,Vatican"
user110,pw110,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey"
user111,pw111,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece,Saint Lucia,Nepal,Oman"
user112,pw112,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu,United Arab Emirates,Republic of Serbia,,Cook Islands,Namibia"
user113,pw113,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea,Coral Sea Islands,Nepal,Morocco"
user114,pw114,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea"
user115,pw115,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada"
user116,pw116,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba,Sudan,Gambia"
user117,pw117,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R.,Grenada,Namibia"
user118,pw118,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu,United Arab Emirates,Republic of Serbia"
user119,pw119,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea,Antigua and Barbuda,Nepal,Kuwait,Sudan,Palestine,Namibia,Israel,Rwanda"
user120,pw120,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea,Namibia,Antigua and Barbuda,Greece,Saint Vincent and the Grenadines,Saint Helena,Guam"
user121,pw121,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba"
user122,pw122,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea,Antigua and Barbuda,Nepal,Kuwait,Sudan"
user123,pw123,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt"
user124,pw124,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea,Antigua and Barbuda,Nepal,Kuwait,Sudan,Palestine,Namibia,Israel,Rwanda"
user125,pw125,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands"
user126,pw126,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba,Sudan,Gambia"
user127,pw127,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria"
user128,pw128,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R"
user129,pw129,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R.,Grenada,Namibia,Saudi Arabia,Switzerland"
user130,pw130,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R.,Grenada,Namibia,Saudi Arabia,Switzerland"
user131,pw131,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu"
user132,pw132,"26.261398,73.023376","27.754099,111.772282","-37.671696,176.139348","40.016412,-105.259703","41.738529,86.19873","23.09639,109.60917","Comoros,Botswana,Austria,Russia,Armenia,French Polynesia,Rwanda,Brazil,Yemen,China,Luxembourg"
user133,pw133,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea"
user134,pw134,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea,Antigua and Barbuda,Nepal,Kuwait,Sudan,Palestine,Namibia,Israel"
user135,pw135,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada,Burundi,Belgium,Brunei,Namibia"
user136,pw136,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia,France,Argentina,Equatorial Guinea,Benin,Hong Kong S.A.R.,Grenada,Namibia,Saudi Arabia,Switzerland"
user137,pw137,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia,Cape Verde,Bangladesh,United Kingdom,Myanmar,Italy,Guinea Bissau,Liechtenstein,Equatorial Guinea,Namibia"
user138,pw138,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya,United Kingdom,Sierra Leone,Western Sahara,Kosovo"
user139,pw139,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba,Sudan,Gambia,Bolivia"
user140,pw140,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei"
user141,pw141,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada"
user142,pw142,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece,Saint Lucia,Nepal,Oman,Azerbaijan,Palestine"
user143,pw143,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada,Burundi,Belgium,Brunei"
user144,pw144,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece,Saint Lucia,Nepal,Oman,Azerbaijan,Palestine,Malaysia,Egypt,Equatorial Guinea"
user145,pw145,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba,Sudan,Gambia,Bolivia,Scarborough Reef,Nicaragua,Iran"
user146,pw146,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya,United Kingdom"
user147,pw147,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada,Burundi,Belgium,Brunei,Namibia,Malta,Seychelles"
user148,pw148,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba,Sudan,Gambia,Bolivia,Scarborough Reef,Nicaragua,Iran,Finland,Central African Republic,Equatorial Guinea,Lithuania,Namibia"
user149,pw149,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji,Aruba,Sudan,Gambia,Bolivia,Scarborough Reef,Nicaragua,Iran,Finland,Central African Republic,Equatorial Guinea,Lithuania,Namibia,Egypt"
user150,pw150,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles,Honduras,Liechtenstein,Armenia,Cuba,Saint Kitts and Nevis,South Africa,Equatorial Guinea,Vietnam,Namibia,Guam,Chad,New Caledonia"
user151,pw151,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal"
user152,pw152,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles,Honduras,Liechtenstein"
user153,pw153,"23.69767,103.30372","50.879655,20.628806","-34.428377,150.893892","25.907854,100.190243","40.016412,-105.259703","24.734319,81.334404","Myanmar,Scarborough Reef,Somalia,Argentina,Niger,Algeria,Cape Verde,Latvia,Republic of Congo,Luxembourg,Libya,Armenia,Somaliland,Namibia"
user154,pw154,"53.88333,25.29972","-8.272046,-35.970224","8.890831,125.591516","58.943598,5.714572","23.69767,103.30372","26.705206,89.139624","Bolivia,Guinea Bissau,Brunei,Singapore,Chad,Guatemala,Bulgaria,Nepal,Australia"
user155,pw155,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea,Coral Sea Islands,Nepal,Morocco,Malaysia,Namibia,Poland"
user156,pw156,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles,Honduras,Liechtenstein,Armenia,Cuba,Saint Kitts and Nevis,South Africa"
user157,pw157,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand"
user158,pw158,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand"
user159,pw159,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada,Burundi"
user160,pw160,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis"
user161,pw161,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon,Thailand,Yemen,Portugal,Vatican,Paraguay,Guam,Nepal,Equatorial Guinea,Bolivia,Venezuela,Namibia,Turkey"
user162,pw162,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland"
user163,pw163,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon,Thailand,Yemen,Portugal,Vatican,Paraguay,Guam,Nepal,Equatorial Guinea,Bolivia,Venezuela,Namibia,Turkey"
user164,pw164,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela,Libya,United Kingdom,Sierra Leone,Western Sahara,Kosovo,North Korea,Equatorial Guinea"
user165,pw165,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia"
user166,pw166,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada,Burundi,Belgium,Brunei,Namibia,Malta"
user167,pw167,"-24.618994,25.929288","47.138691,37.558427","38.124663,-122.228542","-29.781392,-51.116725","43.817726,11.370028","50.879655,20.628806","Puerto Rico,Colombia,Bhutan,Japan,Finland"
user168,pw168,"26.261398,73.023376","27.754099,111.772282","-37.671696,176.139348","40.016412,-105.259703","41.738529,86.19873","23.09639,109.60917","Comoros,Botswana,Austria,Russia,Armenia"
user169,pw169,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos,Italy,Ghana,Macao S.A.R,Somalia,Albania,Guernsey,Saint Kitts and Nevis,Guatemala,Equatorial Guinea,Coral Sea Islands,Nepal,Morocco"
user170,pw170,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon,Thailand,Yemen,Portugal,Vatican,Paraguay,Guam,Nepal"
user171,pw171,"-24.618994,25.929288","47.138691,37.558427","38.124663,-122.228542","-29.781392,-51.116725","43.817726,11.370028","50.879655,20.628806","Puerto Rico,Colombia,Bhutan,Japan,Finland,Senegal,Cook Islands,Cameroon,United States Virgin Islands,Laos,Iceland,Israel"
user172,pw172,"48.291224,25.95741","61.097602,72.598598","9.56009,-69.21475","40.016412,-105.259703","53.88333,25.29972","35.272532,137.03247","Estonia,Vietnam,Norway,Laos"
user173,pw173,"8.9936,-79.51973","53.88333,25.29972","38.124663,-122.228542","-3.011942,-59.979328","39.760983,-84.198952","-8.283226,-35.041551","Chad,United States Virgin Islands,Vatican,Falkland Islands,Puerto Rico,Fiji"
user174,pw174,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados,Equatorial Guinea,Antigua and Barbuda,Nepal,Kuwait,Sudan,Palestine"
user175,pw175,"42.77139,129.42333","47.138691,37.558427","40.598583,-75.468316","46.903549,19.693312","8.9936,-79.51973","8.890831,125.591516","Kuwait,Burundi,Nigeria,Georgia,Bhutan,Poland,Guam,Morocco,Sao Tome and Principe,Senegal,Venezuela"
user176,pw176,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa"
user177,pw177,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea,Namibia,Antigua and Barbuda,Greece,Saint Vincent and the Grenadines,Saint Helena,Guam"
user178,pw178,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea,Namibia,Antigua and Barbuda,Greece"
user179,pw179,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt"
user180,pw180,"35.272532,137.03247","39.760983,-84.198952","42.77139,129.42333","28.167051,78.885643","-8.272046,-35.970224","8.890831,125.591516","Croatia,Nepal,Sierra Leone,Gambia,North Korea,Clipperton Island,Palestine,Egypt,British Virgin Islands,Saint Kitts and Nevis,Kuwait,Grenada,Burundi,Belgium,Brunei,Namibia"
user181,pw181,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa"
user182,pw182,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka"
user183,pw183,"-8.283226,-35.041551","9.56009,-69.21475","53.88333,25.29972","41.738529,86.19873","20.553642,74.522992","19.47966,37.199371","Ecuador,Kosovo,South Georgia and South Sandwich Islands,Sri Lanka,Coral Sea Islands,Macao S.A.R,Gabon,Thailand"
user184,pw184,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso"
user185,pw185,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia,Cape Verde,Bangladesh,United Kingdom,Myanmar,Italy,Guinea Bissau,Liechtenstein,Equatorial Guinea"
user186,pw186,"53.88333,25.29972","47.138691,37.558427","40.016412,-105.259703","45.473702,9.170685","36.84556,115.71167","19.807665,85.840616","Bolivia,Saudi Arabia,Lesotho,Bhutan,Western Sahara,Seychelles"
